P(topic 1),P(topic 2),P(topic 3)
0.072343566,0.8554899,0.0721665
0.050074585,0.89993817,0.049987216
0.06830317,0.86343384,0.06826294
0.09863351,0.80272967,0.09863681
0.09282845,0.8144044,0.09276715
0.05606487,0.887899,0.056036137
0.1120086,0.7759969,0.111994475
0.048183218,0.90381044,0.048006352
0.054064278,0.8919725,0.053963248
0.06958641,0.8608436,0.06956989
0.05547112,0.7435927,0.20093617
0.061275907,0.8775012,0.061222903
0.08690996,0.8263615,0.08672856
0.053437304,0.89370173,0.052860886
0.07509076,0.84991175,0.07499751
0.056754477,0.88572735,0.05751817
0.10786642,0.7845358,0.107597694
0.066385925,0.86730635,0.0663077
0.0657227,0.8685174,0.06575987
0.050927475,0.8981255,0.050947014
0.124992415,0.7499614,0.12504616
0.052409258,0.895316,0.05227471
0.06560599,0.8688024,0.06559155
0.053627998,0.89223963,0.054132357
0.08089185,0.8382023,0.08090584
0.06759938,0.86497283,0.06742785
0.05439541,0.8912845,0.054320026
0.09335494,0.81327724,0.09336776
0.105154626,0.789693,0.10515239
0.08195829,0.8361895,0.0818522
0.05551141,0.8890433,0.055445362
0.10417004,0.79188794,0.103942044
0.09051416,0.8189673,0.09051859
0.055958245,0.88814056,0.05590121
0.080544196,0.8389177,0.08053817
0.08760031,0.8248001,0.0875996
0.054141045,0.8934415,0.052417427
0.06163692,0.87685513,0.06150793
0.0544762,0.8910499,0.054473896
0.064167984,0.87167,0.06416196
0.10372385,0.7925543,0.10372182
0.07023951,0.8595491,0.07021138
0.080503896,0.8382971,0.08119897
0.07675149,0.8465118,0.07673673
0.086638704,0.8254009,0.08796034
0.12337217,0.753485,0.12314278
0.057942588,0.88393646,0.05812094
0.018139921,0.9615469,0.020313183
0.050680388,0.8986938,0.050625827
0.05658953,0.8876283,0.05578211
0.09503648,0.8099402,0.09502328
0.05833331,0.8834093,0.058257397
0.10958972,0.7808666,0.10954369
0.0564873,0.88702416,0.056488603
0.05863081,0.8827234,0.058645774
0.102075085,0.7958847,0.10204017
0.10567106,0.7886588,0.10567009
0.05553272,0.88912123,0.055346068
0.06451797,0.8709703,0.0645117
0.09486747,0.81026614,0.09486634
0.082033254,0.83594036,0.08202646
0.054894604,0.8901088,0.054996535
0.109944105,0.7802089,0.109846994
0.025887351,0.9503338,0.023778923
0.11267791,0.35534218,0.53197986
0.052208792,0.895657,0.052134223
0.054764442,0.8904744,0.05476114
0.05638516,0.887267,0.056347877
0.0692209,0.8615562,0.06922289
0.10084027,0.79852986,0.1006299
0.059503827,0.8811238,0.059372295
0.056073382,0.8878893,0.056037284
0.05166292,0.8966685,0.051668607
0.053047344,0.89413023,0.052822452
0.053231016,0.89351577,0.053253267
0.054864664,0.89050984,0.054625522
